theater_id,longitude,latitude,city,state,zipcode
8900,-118.340261,34.102593,Hollywood,CA,90028
899,-82.400635,36.349331,Johnson City,TN,37604
896,-84.347588,33.757484,Atlanta,GA,30307
898,-75.139755,39.916004,Philadelphia,PA,19148
893,-88.722191,41.947678,Dekalb,IL,60115
938,-90.057671,32.344334,Flowood,MS,39232
942,-90.446098,38.512543,Fenton,MO,63026
950,-73.723564,40.66304,Valley Stream,NY,11581
895,-114.60431,32.700935,Yuma,AZ,85365
944,-111.98541,43.478294,Idaho Falls,ID,83404
897,-83.358322,42.524887,Farmington Hills,MI,48334
943,-90.750656,29.610771,Houma,LA,70360
945,-111.83335,41.760372,Logan,UT,84341
947,-117.89139,33.79018,Orange,CA,92868
948,-95.385445,29.556917,Pearland,TX,77584
940,-99.760239,32.400845,Abilene,TX,79606
951,-87.025002,41.468235,Valparaiso,IN,46383
949,-83.13018,42.642002,Rochester Hills,MI,48307
952,-94.97554,29.774206,Baytown,TX,77521
953,-82.536293,35.442486,Arden,NC,28704
